naam,afkorting,adres,postcode,gemeente,lestijden_per_week,school_type_id,logo_filename
GEEN TOEWIJZING,GEEN," ",0," ",0 ,3,"nologo"
VBS Paridaens,PAR,Janseniusstraat 2,3000,Leuven,28,1,Pari.png
Vrije Basisschool,SJ,Mechelsevest 2,3000,Leuven,25,1,SJ.jpg
Vrije Kleuterschool,MD-KS,Sint-jacobsplein 13,3000,Leuven,11,1,MD2.png
VLS HDC,HDC,Oude Markt 28,3000,Leuven,15,1,Logo_HDC.jpg
Vrije Basisschool,DB,Groenveldstraat 46,3001,Heverlee, 29,1,Logo_DB.jpg
VBSBO Windekind,WIN,Schapenstraat 98,3000,Leuven,19,2,Wind.jpg
VBSBO Ter Bank,TB,Tervuursesteenweg 295,3001,Heverlee,19,2,BoTer.jpg
Vrije Basisschool,SM,Charles Deberiostraat 3,3000,Leuven,35,1,SM.jpg
VLS Mater Dei,MD-LS,Sint-jacobsplein 15,3000,Leuven,16,1,MD2.png
